Customer ID,starting location,destination,startDate,startTime,distance,minute,percentRain,minuteRain
CUS001,R1,R5,14/10/2020,08:30,19,23,3,26
CUS001,R1,R5,15/10/2020,08:25,19,24,4,27
CUS001,R1,R5,16/10/2020,08:23,19,23,2,26
CUS001,R1,R5,17/10/2020,08:02,19,21,5,23
CUS001,R1,R5,18/10/2020,08:27,19,19,8,21
CUS001,R1,R5,19/10/2020,08:47,19,17,8,19
CUS001,R1,R5,20/10/2020,08:22,19,19,9,21
CUS001,R1,R5,21/10/2020,08:21,19,25,9,27
CUS001,R1,R5,22/10/2020,08:11,19,21,10,23
CUS001,R1,R5,23/10/2020,08:13,19,23,11,25
CUS001,R1,R5,24/10/2020,08:20,19,25,15,27
CUS001,R1,R5,25/10/2020,08:52,19,18,16,20
CUS001,R1,R5,26/10/2020,08:42,19,19,11,21
CUS001,R1,R5,27/10/2020,08:30,19,25,8,27
CUS001,R1,R5,28/10/2020,08:25,19,21,7,23
CUS001,R1,R5,29/10/2020,08:23,19,25,8,27
CUS001,R1,R5,30/10/2020,08:02,19,21,5,23
CUS001,R1,R5,31/10/2020,08:27,19,23,2,25
CUS001,R1,R5,1/11/2020,08:47,19,25,3,27
CUS001,R1,R5,2/11/2020,08:22,19,24,5,26
CUS001,R1,R5,3/11/2020,08:21,19,24,9,26
CUS001,R1,R5,4/11/2020,08:11,19,19,11,21
CUS001,R1,R5,5/11/2020,08:13,19,21,12,23
CUS001,R1,R5,6/11/2020,08:20,19,22,13,24
CUS001,R1,R5,7/11/2020,08:52,19,25,15,27
CUS001,R1,R5,8/11/2020,08:42,19,28,15,30
CUS001,R1,R5,9/11/2020,08:30,19,27,11,29
CUS001,R1,R5,10/11/2020,08:25,19,29,13,31
CUS001,R1,R5,11/11/2020,08:23,19,24,24,26
CUS001,R1,R5,12/11/2020,08:02,19,28,25,30
CUS001,R1,R5,13/11/2020,08:27,19,24,29,26
CUS001,R1,R5,14/11/2020,08:11,19,19,30,21
